objectid,unique_code,name,pollutant_metric,maximum_value,unit,compliance_status,compliance_metric,globalid,shape_Length,shape_Area
1,UK0001,Greater London Urban Area,Nitrogen Dioxide annual mean Limit Value 2023,42,μg m⁻³,Exceeding,Limit Value: 40 μg m⁻³,{F2E76D24-5C2E-49E1-B332-859CBAEA97F0},1924215.80187318,1630315288.99501
2,UK0002,West Midlands Urban Area,Nitrogen Dioxide annual mean Limit Value 2023,46,μg m⁻³,Exceeding,Limit Value: 40 μg m⁻³,{F651C471-ED82-4662-ACC1-B6E73A9C8D5F},666327.410350489,599662377.697963
3,UK0003,Greater Manchester Urban Area,Nitrogen Dioxide annual mean Limit Value 2023,55,μg m⁻³,Exceeding,Limit Value: 40 μg m⁻³,{258F3DB0-EEC2-4E9A-9CFF-FCF3571A82FF},1311025.04600873,556466825.658004
4,UK0004,West Yorkshire Urban Area,Nitrogen Dioxide annual mean Limit Value 2023,41,μg m⁻³,Exceeding,Limit Value: 40 μg m⁻³,{975B51E3-B469-43EF-8AC2-D8CF9D664F1F},1285916.58838284,369966601.580566
5,UK0005,Tyneside,Nitrogen Dioxide annual mean Limit Value 2023,36,μg m⁻³,Compliant,Limit Value: 40 μg m⁻³,{EA7F15C6-226B-4A42-A74F-FCE0EDAB651E},608272.376771677,210719249.25174
6,UK0006,Liverpool Urban Area,Nitrogen Dioxide annual mean Limit Value 2023,43,μg m⁻³,Exceeding,Limit Value: 40 μg m⁻³,{82FAA25C-5596-4B22-9F7B-5502B163A7A6},305256.908820854,186061360.868969
7,UK0007,Sheffield Urban Area,Nitrogen Dioxide annual mean Limit Value 2023,40,μg m⁻³,Compliant,Limit Value: 40 μg m⁻³,{A29D7F5B-F6D8-4012-BAAF-D0E1B4A45493},419374.816844874,162190675.84324
8,UK0008,Nottingham Urban Area,Nitrogen Dioxide annual mean Limit Value 2023,41,μg m⁻³,Exceeding,Limit Value: 40 μg m⁻³,{5FF0504D-C427-4764-9C6A-5888B5CA7E39},436618.161913162,158434918.161116
9,UK0009,Bristol Urban Area,Nitrogen Dioxide annual mean Limit Value 2023,45,μg m⁻³,Exceeding,Limit Value: 40 μg m⁻³,{8E16E2A0-2A7B-4BB5-80F0-9215027099E9},316778.468058441,139755454.060475
10,UK0010,Brighton/Worthing/Littlehampton,Nitrogen Dioxide annual mean Limit Value 2023,24,μg m⁻³,Compliant,Limit Value: 40 μg m⁻³,{BEB049C7-150B-45B3-8F04-997B22D1D7AB},241980.957221294,94090008.3542869
11,UK0011,Leicester Urban Area,Nitrogen Dioxide annual mean Limit Value 2023,37,μg m⁻³,Compliant,Limit Value: 40 μg m⁻³,{F681CCCC-0581-4971-B35B-6834E945B95D},215660.864434521,101640509.183915
12,UK0012,Portsmouth Urban Area,Nitrogen Dioxide annual mean Limit Value 2023,35,μg m⁻³,Compliant,Limit Value: 40 μg m⁻³,{4EEAB6B4-CC64-4C90-94F4-18B948B2F984},277913.401033606,94411471.888681
13,UK0013,Teesside Urban Area,Nitrogen Dioxide annual mean Limit Value 2023,35,μg m⁻³,Compliant,Limit Value: 40 μg m⁻³,{65913B9D-08CA-44E3-8593-BCEC49B4426F},268300.380811507,114303033.398667
14,UK0014,The Potteries,Nitrogen Dioxide annual mean Limit Value 2023,36,μg m⁻³,Compliant,Limit Value: 40 μg m⁻³,{87EDCFF9-B8C4-4A1A-B008-F719AB9E4EFE},320022.561398888,96638493.7269874
15,UK0015,Bournemouth Urban Area,Nitrogen Dioxide annual mean Limit Value 2023,30,μg m⁻³,Compliant,Limit Value: 40 μg m⁻³,{7660A6A6-7BD1-49E4-AD79-49310795C4A5},251849.342077123,108070011.0059
16,UK0016,Reading/Wokingham Urban Area,Nitrogen Dioxide annual mean Limit Value 2023,29,μg m⁻³,Compliant,Limit Value: 40 μg m⁻³,{4895E4FA-8765-44D0-AA24-46C6702703B0},259025.822297437,93153131.1895689
