objectid,unique_code,name,pollutant_metric,maximum_value,unit,compliance_status,compliance_metric,globalid,shape_Length,shape_Area
1,UK0001,Greater London Urban Area,Nitrogen Dioxide hourly mean Limit Value 2023,0,Hours,Compliant,Limit Value: 18 hours over 200 μg m⁻³,{B490BA87-D798-4AF4-B931-6A3E6AC9263F},1924215.80187318,1630315288.99501
2,UK0002,West Midlands Urban Area,Nitrogen Dioxide hourly mean Limit Value 2023,0,Hours,Compliant,Limit Value: 18 hours over 200 μg m⁻³,{51DEAF55-69E1-4228-9241-5346D2B2D2B3},666327.410350489,599662377.697963
3,UK0003,Greater Manchester Urban Area,Nitrogen Dioxide hourly mean Limit Value 2023,0,Hours,Compliant,Limit Value: 18 hours over 200 μg m⁻³,{6D75EF1F-A739-4C59-A6D7-99964AA38A63},1311025.04600873,556466825.658004
4,UK0004,West Yorkshire Urban Area,Nitrogen Dioxide hourly mean Limit Value 2023,0,Hours,Compliant,Limit Value: 18 hours over 200 μg m⁻³,{539D2CEB-A0AB-427A-B183-ECFA6F192BF8},1285916.58838284,369966601.580566
5,UK0005,Tyneside,Nitrogen Dioxide hourly mean Limit Value 2023,0,Hours,Compliant,Limit Value: 18 hours over 200 μg m⁻³,{A9EFFF1D-72CC-4E99-B32A-82D7B923A7D0},608272.376771677,210719249.25174
6,UK0006,Liverpool Urban Area,Nitrogen Dioxide hourly mean Limit Value 2023,0,Hours,Compliant,Limit Value: 18 hours over 200 μg m⁻³,{86252D61-AE53-4B66-9C11-4E1F91B4E36B},305256.908820854,186061360.868969
7,UK0007,Sheffield Urban Area,Nitrogen Dioxide hourly mean Limit Value 2023,0,Hours,Compliant,Limit Value: 18 hours over 200 μg m⁻³,{D6FE39EB-39A9-4317-ABCA-E01DC27FCBAB},419374.816844874,162190675.84324
8,UK0008,Nottingham Urban Area,Nitrogen Dioxide hourly mean Limit Value 2023,0,Hours,Compliant,Limit Value: 18 hours over 200 μg m⁻³,{511782CC-73BB-4E01-8FBC-D5CA84233A0A},436618.161913162,158434918.161116
9,UK0009,Bristol Urban Area,Nitrogen Dioxide hourly mean Limit Value 2023,0,Hours,Compliant,Limit Value: 18 hours over 200 μg m⁻³,{FF7AEAFF-5DDD-4820-91D6-289CA25DC099},316778.468058441,139755454.060475
10,UK0010,Brighton/Worthing/Littlehampton,Nitrogen Dioxide hourly mean Limit Value 2023,0,Hours,Compliant,Limit Value: 18 hours over 200 μg m⁻³,{F26C26E1-DD53-44C6-8E4A-38F80FDDF621},241980.957221294,94090008.3542869
