objectid,unique_code,name,pollutant_metric,maximum_value,unit,compliance_status,compliance_metric,globalid,shape_Length,shape_Area
1,UK0001,Greater London Urban Area,PM2.5 annual mean stage2 Limit Value 2023,12,μg m⁻³,Compliant,Limit Value: 20 μg m⁻³,{2F0C1046-2904-4FF2-BB7B-C8539C253596},1924215.80187318,1630315288.99501
2,UK0002,West Midlands Urban Area,PM2.5 annual mean stage2 Limit Value 2023,11,μg m⁻³,Compliant,Limit Value: 20 μg m⁻³,{113E1DE3-EDF0-4F38-AFFD-6D512654B9BD},666327.410350489,599662377.697963
3,UK0003,Greater Manchester Urban Area,PM2.5 annual mean stage2 Limit Value 2023,10,μg m⁻³,Compliant,Limit Value: 20 μg m⁻³,{631DBFCC-A0D4-4C9C-B4CF-D6252B140862},1311025.04600873,556466825.658004
4,UK0004,West Yorkshire Urban Area,PM2.5 annual mean stage2 Limit Value 2023,10,μg m⁻³,Compliant,Limit Value: 20 μg m⁻³,{E0A5EC03-50C8-4A23-98EF-CB20D58E7E06},1285916.58838284,369966601.580566
5,UK0005,Tyneside,PM2.5 annual mean stage2 Limit Value 2023,9,μg m⁻³,Compliant,Limit Value: 20 μg m⁻³,{64670F21-6E14-4160-BCF8-447DFA82C8D0},608272.376771677,210719249.25174
6,UK0006,Liverpool Urban Area,PM2.5 annual mean stage2 Limit Value 2023,10,μg m⁻³,Compliant,Limit Value: 20 μg m⁻³,{2F9A4DCD-1F1A-4F7E-BFF6-E440BEE8FEF0},305256.908820854,186061360.868969
7,UK0007,Sheffield Urban Area,PM2.5 annual mean stage2 Limit Value 2023,10,μg m⁻³,Compliant,Limit Value: 20 μg m⁻³,{7DC5D01A-4CEA-4664-928E-0C781E9C907E},419374.816844874,162190675.84324
8,UK0008,Nottingham Urban Area,PM2.5 annual mean stage2 Limit Value 2023,10,μg m⁻³,Compliant,Limit Value: 20 μg m⁻³,{BFD49CD1-6BE7-442D-A4F6-942865398762},436618.161913162,158434918.161116
9,UK0009,Bristol Urban Area,PM2.5 annual mean stage2 Limit Value 2023,8,μg m⁻³,Compliant,Limit Value: 20 μg m⁻³,{F558724D-1C63-4076-958D-AFAEE0BB55F2},316778.468058441,139755454.060475
10,UK0010,Brighton/Worthing/Littlehampton,PM2.5 annual mean stage2 Limit Value 2023,8,μg m⁻³,Compliant,Limit Value: 20 μg m⁻³,{B6256C85-865B-48BA-8275-71D6FFA0581A},241980.957221294,94090008.3542869
11,UK0011,Leicester Urban Area,PM2.5 annual mean stage2 Limit Value 2023,11,μg m⁻³,Compliant,Limit Value: 20 μg m⁻³,{B1872C72-304B-4776-ABE6-1751B26AB7A8},215660.864434521,101640509.183915
12,UK0012,Portsmouth Urban Area,PM2.5 annual mean stage2 Limit Value 2023,9,μg m⁻³,Compliant,Limit Value: 20 μg m⁻³,{7F81B162-8921-4AE9-A499-B40270C750F0},277913.401033606,94411471.888681
13,UK0013,Teesside Urban Area,PM2.5 annual mean stage2 Limit Value 2023,10,μg m⁻³,Compliant,Limit Value: 20 μg m⁻³,{F2343214-091B-4287-AB4F-42B05EA013C0},268300.380811507,114303033.398667
